theme,match_english,match_portuguese,Total,responses_english (%),responses_portuguese (%)
anatomy,5,6,21,23.81,28.57
contact lenses,0,0,3,0.0,0.0
cornea,4,1,10,40.0,10.0
cornea/lens,1,0,1,100.0,0.0
embryology,1,1,2,50.0,50.0
genetics,0,0,2,0.0,0.0
glaucoma,4,2,9,44.44,22.22
glaucoma/uveitis,0,0,1,0.0,0.0
lens/cataract,3,5,8,37.5,62.5
low vision,1,1,1,100.0,100.0
neuro-ophthalmology,0,1,7,0.0,14.29
ocular plastic surgery,4,6,16,25.0,37.5
oncology,1,0,1,100.0,0.0
oncology/ocular plastic surgery,1,0,3,33.33,0.0
optics,0,1,1,0.0,100.0
optics/refraction,1,1,1,100.0,100.0
pharmacology,5,4,9,55.56,44.44
pharmacology/glaucoma,0,0,1,0.0,0.0
refraction,9,11,31,29.03,35.48
refraction/low vision,0,0,2,0.0,0.0
refractive surgery,1,1,2,50.0,50.0
retina,5,1,12,41.67,8.33
retina/oncology,1,1,1,100.0,100.0
strabismus,4,2,11,36.36,18.18
uveitis,3,2,8,37.5,25.0
