test,year,theme,match_english,match_portuguese,Total
Teórica I,2022,anatomy,8,9,21
Teórica I,2022,cornea,1,0,1
Teórica I,2022,embryology,1,1,2
Teórica I,2022,genetics,1,1,2
Teórica I,2022,glaucoma,1,1,1
Teórica I,2022,oncology,0,1,1
Teórica I,2022,pharmacology,2,2,3
Teórica I,2022,refraction,5,6,12
Teórica I,2022,retina,0,0,1
Teórica II,2022,contact lenses,1,1,3
Teórica II,2022,cornea,4,3,9
Teórica II,2022,cornea/lens,1,1,1
Teórica II,2022,glaucoma,3,3,8
Teórica II,2022,glaucoma/uveitis,0,1,1
Teórica II,2022,lens/cataract,2,3,8
Teórica II,2022,low vision,1,1,1
Teórica II,2022,neuro-ophthalmology,3,3,7
Teórica II,2022,ocular plastic surgery,10,7,16
Teórica II,2022,oncology/ocular plastic surgery,2,1,3
Teórica II,2022,optics,0,0,1
Teórica II,2022,optics/refraction,1,1,1
Teórica II,2022,pharmacology,2,2,6
Teórica II,2022,pharmacology/glaucoma,1,1,1
Teórica II,2022,refraction,6,8,19
Teórica II,2022,refraction/low vision,1,0,2
Teórica II,2022,refractive surgery,2,2,2
Teórica II,2022,retina,8,7,11
Teórica II,2022,retina/oncology,0,0,1
Teórica II,2022,strabismus,5,4,11
Teórica II,2022,uveitis,4,3,8
